,weekday,hour,day,lang,reach,retweetcount,likes,klout,sentiment,locationid,isreshare
325,Friday,13,1,en,2505,0,0,44,0.0,3753,0
326,Friday,13,1,en,151,1,0,43,1.0,1643,0
327,Friday,13,1,en,89,1,0,35,0.5,78,1
328,Friday,13,1,en,89,1,0,35,-0.33333334326744,78,1
329,Friday,13,1,en,383,3,0,43,0.0,2055,1
330,Friday,13,1,en,2087,0,0,0,0.0,3011,0
331,Friday,13,1,en,1168,0,0,46,0.0,2432,0
332,Friday,13,1,en,1884,0,0,0,0.0,3022,0
333,Friday,14,1,en,796,0,0,47,0.0,1602,0
334,Friday,14,1,en,331,0,0,44,0.0,1330,0
335,Friday,14,1,en,4153,0,0,58,1.0,3753,0
336,Friday,14,1,en,1778,0,0,48,1.0,3748,0
337,Friday,14,1,en,416,0,0,40,0.0,3761,0
338,Friday,14,1,en,1121,0,0,49,0.0,80,0
339,Friday,14,1,en,1465,0,0,51,0.0,3758,0
340,Friday,14,1,en,322,0,0,44,0.0,1066,0
341,Friday,14,1,en,958,0,0,47,0.0,3751,0
342,Friday,14,1,en,2016,0,0,54,1.5,3028,0
343,Friday,14,1,en,322,2,0,44,0.0,1066,0
344,Friday,14,1,en,5044,1,0,44,0.0,3790,0
345,Friday,14,1,en,322,0,0,44,0.0,1066,0
346,Friday,14,1,en,178,1,0,47,0.0,3754,0
347,Friday,14,1,en,465,3,0,44,2.0,1067,0
348,Friday,14,1,en,465,2,0,44,0.0,1066,1
349,Friday,14,1,en,1138,15,0,54,0.0,2299,1
350,Friday,15,1,en,4144,0,0,55,0.0,3791,0
351,Friday,15,1,en,200,0,0,51,0.0,3792,0
352,Friday,15,1,en,2087,0,0,0,0.0,3011,0
353,Friday,15,1,en,1167,0,0,46,0.0,2432,0
354,Friday,15,1,en,0,0,0,0,0.0,3793,0
355,Friday,15,1,en,2505,0,0,44,0.0,3753,0
356,Friday,15,1,en,200,0,0,32,0.33333334326744,3794,0
357,Friday,15,1,en,1056,1,0,56,0.0,3751,0
358,Friday,15,1,en,4145,0,0,55,0.0,3791,0
359,Friday,15,1,en,248,0,0,42,0.0,3795,0
360,Friday,15,1,en,2942,4,0,56,0.0,3796,0
361,Friday,15,1,en,416,0,0,40,0.0,3761,0
362,Friday,15,1,en,237,0,0,46,1.0,3787,0
363,Friday,15,1,en,118977,1,0,68,0.0,3763,1
364,Friday,15,1,en,14,12,0,20,0.0,82,1
365,Friday,15,1,en,416,0,0,40,0.0,3761,0
366,Friday,15,1,en,1051,0,0,45,1.0,3029,0
367,Friday,16,1,en,4145,0,0,55,1.0,3791,0
368,Friday,16,1,en,44,0,0,36,0.0,3751,0
369,Friday,16,1,en,773,3,0,51,0.0,1601,1
370,Friday,16,1,en,324,0,0,53,0.0,3745,0
371,Friday,16,1,en,545,13,0,47,0.0,3739,1
372,Friday,16,1,en,175,1,0,41,0.0,2202,1
373,Friday,16,1,en,210,0,0,46,0.0,1483,0
374,Friday,16,1,en,670,0,0,36,2.75,3753,0
375,Friday,16,1,en,959,0,0,47,0.0,3751,0
376,Friday,16,1,en,2059,0,0,49,0.0,3030,0
377,Friday,16,1,en,218,0,0,47,0.0,3744,0
378,Friday,16,1,en,773,0,0,49,0.0,3751,0
379,Friday,16,1,en,773,0,0,49,0.0,3751,0
380,Friday,16,1,en,737,0,0,50,0.0,3753,0
381,Friday,16,1,en,3453,1,0,52,2.0,3753,1
382,Friday,16,1,en,388,0,0,56,0.0,3018,0
383,Friday,16,1,en,22,0,0,15,0.0,3797,0
384,Friday,16,1,en,773,0,0,49,0.0,3751,0
385,Friday,16,1,en,773,0,0,49,0.0,3751,0
386,Friday,16,1,en,773,0,0,49,0.0,3751,0
387,Friday,16,1,en,763,0,0,51,0.0,1068,0
388,Friday,16,1,en,773,0,0,49,0.0,3751,0
389,Friday,16,1,en,46,0,0,33,-3.0,79,0
390,Friday,16,1,en,1889,0,0,51,0.0,1653,0
391,Friday,17,1,en,50,0,0,26,0.0,3737,0
392,Friday,17,1,en,14862,1,0,49,0.0,3798,0
393,Friday,17,1,en,196,0,0,47,0.0,3776,0
394,Friday,17,1,en,341,0,0,36,3.0,3799,0
395,Friday,17,1,en,1752,0,0,47,0.0,1643,0
